,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,CV_F1_Macro_Mean,CV_F1_Macro_Std
Logistic Regression,0.945,0.9397284208389519,0.9220335515548282,0.9303206120276158,0.9451225586149897,0.945,0.9447533208205736,0.9119912538895582,0.03286244094238912
Support Vector Machine,0.885,0.926952926952927,0.7848745226404801,0.8206863282176234,0.8997308997308997,0.885,0.8764436195350891,0.7537172868538807,0.045655148343784896
Decision Tree,0.685,0.6673236768121257,0.6670962902345882,0.6661926344647298,0.687917125045838,0.685,0.6852328062536602,0.6441859388243487,0.03150262623457896
Random Forest (Tuned),0.785,0.8761078778196204,0.6335515548281506,0.6437189778682081,0.8303845714937808,0.785,0.7568428639395873,0.6369557550452244,
Random Forest,0.785,0.8868264411027568,0.6230360065466448,0.626193450019973,0.8426127819548873,0.785,0.752310159164177,0.6300116936121682,0.03264492512510118
