feature,importance_mean,importance_std
blood_sugar_mg_dl,0.29172798688395063,0.035054861319703756
cholesterol_mg_dl,0.28391463450143206,0.030424691287567234
age,0.2598397458264778,0.026053234736142697
bmi,0.22304986932995444,0.021182015716761392
previous_admissions,0.0979817586069325,0.024273286306887725
systolic_bp,0.08938579038119973,0.015014953060612445
appointment_is_weekend,0.004368651213207081,0.005090313109893897
stay_duration,0.004208379899126313,0.007196266545466451
appointment_day,0.004026037550755468,0.003345900935865693
appointment_year,0.0,0.0
lab_charge_lkr,-0.00015441228152048846,0.003093740213038705
missed_previous_appointments,-0.000638790222879837,0.002083522193819047
room_charge_lkr,-0.0007106150051643667,0.0035995337256456974
medicine_charge_lkr,-0.004191896335414008,0.008070083985410228
total_bill_lkr,-0.004302370119077292,0.0038916401984225623
calculated_total_bill,-0.004302370119077292,0.0038916401984225623
length_of_stay_days,-0.004592695963333037,0.005275906525767115
appointment_month,-0.005197585535689708,0.005337323099180648
lab_tests_count,-0.005476069543624712,0.003786752703882663
appointment_dayofweek,-0.005600710233279732,0.004511950125339017
payment_method,-0.006099855426234068,0.005165680093289837
payment_status,-0.006456974622386075,0.007123649873027562
room_type,-0.006634624352585938,0.004886115338004593
appointment_status,-0.006783824161584445,0.009159808290530973
admitted,-0.007334373698651314,0.004712056222010212
consultation_fee_lkr,-0.008435167083879352,0.0068993540252813
treatments_count,-0.008714261148301695,0.005948503003590039
gender,-0.010201637935893015,0.0074915227440839754
diastolic_bp,-0.010341320675158283,0.00994893722403636
waiting_days,-0.011317360934054976,0.009231346021683755
care_intensity_index,-0.01133864932753383,0.010356846189703488
department,-0.0123974607436606,0.010677582544914917
previous_appointments,-0.01610667030549285,0.00721907049207268
diagnosis,-0.023287133729370985,0.011091021758356768
blood_group,-0.023304883286837764,0.010573105927313028
